name,fn_met_active_neigh,genes,max,min,weight
3766,0.624113475,FADS2,0.7,0.6,0.566835871
12707,0.62406015,ADPRM,0.7,0.6,0.566835871
19130,0.624052004,GALE,0.7,0.6,0.566835871
17524,0.623880597,SLC1A5,0.7,0.6,0.566835871
12159,0.623831776,CLYBL,0.7,0.6,0.566835871
4072,0.623684211,OXNAD1,0.7,0.6,0.566835871
13786,0.623557984,GPT,0.7,0.6,0.566835871
12156,0.623548922,PTPRH,0.7,0.6,0.566835871
13724,0.623465211,ELOVL6,0.7,0.6,0.566835871
7641,0.623376623,MT1H,0.7,0.6,0.566835871
12179,0.623310811,SLC15A1,0.7,0.6,0.566835871
2522,0.623287671,ALG1,0.7,0.6,0.566835871
1624,0.622988506,CERS4,0.7,0.6,0.566835871
11906,0.622571693,ALDOB,0.7,0.6,0.566835871
1705,0.622516556,CACNG6,0.7,0.6,0.566835871
12329,0.622324159,SLC2A5,0.7,0.6,0.566835871
392,0.622296173,ACO2,0.7,0.6,0.566835871
13610,0.622222222,FDX1L,0.7,0.6,0.566835871
